ImageNumber	ObjectNumber	FileName_CellLabels	FileName_DNA	FileName_NucleiLabels	FileName_PLA	FileName_PLALabels	PathName_CellLabels	PathName_DNA	PathName_NucleiLabels	PathName_PLA	PathName_PLALabels	AreaShape_Area	AreaShape_BoundingBoxArea	AreaShape_BoundingBoxMaximum_X	AreaShape_BoundingBoxMaximum_Y	AreaShape_BoundingBoxMinimum_X	AreaShape_BoundingBoxMinimum_Y	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Compactness	AreaShape_ConvexArea	AreaShape_Eccentricity	AreaShape_EquivalentDiameter	AreaShape_EulerNumber	AreaShape_Extent	AreaShape_FormFactor	AreaShape_MajorAxisLength	AreaShape_MaxFeretDiameter	AreaShape_MaximumRadius	AreaShape_MeanRadius	AreaShape_MedianRadius	AreaShape_MinFeretDiameter	AreaShape_MinorAxisLength	AreaShape_Orientation	AreaShape_Perimeter	AreaShape_Solidity
4	1	Well_4_cells_labels.tiff	Well_4_C0.tif	Well_4_nuclei_labels.tiff	Well_4_C1.tif	Well_4_PLA_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	900	1170	26	173	0	128	11.436666666666667	150.99555555555557	1.2823042562446203	933	0.8355837472861956	33.851375012865375	1	0.7692307692307693	0.7798461208641841	46.00840838102441	46.09772228646444	13.0	5.192020510254028	5.0	25.0	25.275321252512743	15.611286042878863	120.42640687119284	0.9646302250803859
4	2	Well_4_cells_labels.tiff	Well_4_C0.tif	Well_4_nuclei_labels.tiff	Well_4_C1.tif	Well_4_PLA_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	1566	2068	487	200	443	153	465.1008939974457	175.34163473818646	1.088649006002283	1599	0.5785876206015708	44.653030435293694	1	0.7572533849129593	0.9185697084060009	49.50286720939528	49.658836071740545	19.697715603592208	7.4969964520163	6.708203932499369	39.563395899264854	40.37554011200426	29.810818091563164	146.36753236814712	0.9793621013133208
4	3	Well_4_cells_labels.tiff	Well_4_C0.tif	Well_4_nuclei_labels.tiff	Well_4_C1.tif	Well_4_PLA_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	1107	1517	259	213	222	172	240.53658536585365	190.4119241192412	1.1667040630340917	1149	0.6034270199839122	37.542991037233904	1	0.7297297297297297	0.8571153831413199	42.20126819307403	42.5205832509386	16.492422502470642	6.186560544260497	5.385164807134504	33.48937833908628	33.65206053380391	33.251271461702686	127.39696961967	0.9634464751958225
4	4	Well_4_cells_labels.tiff	Well_4_C0.tif	Well_4_nuclei_labels.tiff	Well_4_C1.tif	Well_4_PLA_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	494	660	512	227	497	183	505.246963562753	203.73886639676113	1.6469279043564913	506	0.9286992409299001	25.079480359432697	1	0.7484848484848485	0.6071911207253075	42.61912917848723	43.01162633521314	8.0	3.387696287555467	3.0	14.0	15.804614354234811	1.37207484987496	101.11269837220809	0.9762845849802372
4	5	Well_4_cells_labels.tiff	Well_4_C0.tif	Well_4_nuclei_labels.tiff	Well_4_C1.tif	Well_4_PLA_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	1260	1800	255	253	219	203	236.87142857142857	228.26746031746032	1.2504712261447222	1313	0.7582442895723992	40.05348706874727	1	0.7	0.7996985289162231	49.86510948874658	52.0	16.76305461424021	6.298103682563842	5.656854249492381	33.54101966249684	32.510582831024934	23.33878934827052	140.71067811865476	0.9596344249809596
4	6	Well_4_cells_labels.tiff	Well_4_C0.tif	Well_4_nuclei_labels.tiff	Well_4_C1.tif	Well_4_PLA_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	1017	1376	284	263	252	220	266.21238938053096	242.55063913470994	1.2027953916144603	1054	0.7276712746298233	35.98450523483212	1	0.7390988372093024	0.8313966007616168	43.940523310080266	43.174066289845804	15.132745950421556	5.723311584042245	5.0	30.59411708155671	30.139948628434553	10.802925078640238	123.98275605729688	0.9648956356736242
4	7	Well_4_cells_labels.tiff	Well_4_C0.tif	Well_4_nuclei_labels.tiff	Well_4_C1.tif	Well_4_PLA_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	1358	1908	241	306	205	253	221.72680412371133	277.6531664212077	1.261286696412653	1415	0.7586486033367531	41.581958849365805	1	0.7117400419287212	0.7928411540724217	51.85637738320505	52.46903848937962	17.26267650163207	6.473702913925153	5.830951894845301	34.614862115069634	33.78443172192652	-9.80606476770404	146.71067811865476	0.9597173144876325
4	8	Well_4_cells_labels.tiff	Well_4_C0.tif	Well_4_nuclei_labels.tiff	Well_4_C1.tif	Well_4_PLA_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	1668	2288	273	326	229	274	250.07973621103116	301.32553956834533	1.200207033812792	1733	0.5628506189584692	46.08430926701898	1	0.7290209790209791	0.8331895846529257	50.867077605919086	52.88667128870941	21.02379604162864	7.588681168271093	6.708203932499369	42.93250516799596	42.0446223445458	-15.546239588793219	158.61017305526642	0.9624927870744374
4	9	Well_4_cells_labels.tiff	Well_4_C0.tif	Well_4_nuclei_labels.tiff	Well_4_C1.tif	Well_4_PLA_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	1629	2254	83	370	37	321	59.461019030079804	344.548802946593	1.1377216470085645	1675	0.6772859711144271	45.54236728995958	1	0.7227151730257321	0.8789496118222951	53.230139740702064	52.20153254455275	18.788294228055936	7.397433635942119	6.708203932499369	38.4283073609785	39.162470991567616	35.681610387743696	152.61017305526642	0.9725373134328358
4	10	Well_4_cells_labels.tiff	Well_4_C0.tif	Well_4_nuclei_labels.tiff	Well_4_C1.tif	Well_4_PLA_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/batch_qc_practical	849	1064	78	512	40	484	57.226148409893995	499.41813898704356	1.242020930211151	874	0.6461728275816483	32.878265974350796	1	0.7979323308270677	0.8051394108390703	38.605894349287546	40.22437072223753	13.92838827718412	5.232967944321193	5.0	27.0	29.463675525682365	79.39425666632157	115.11269837220809	0.971395881006865
